材质,Материал
醋酸纤维,Ацетатное волокно
金属,Металл
金属银,Серебристый металл
针织,Трикотаж
钛钢,Титановая сталь
钻石,Бриллиант
钻石(0.62克拉),Бриллиант (0.62 карата)
铂金,Платина
铜,Медь
铝,Алюминий
银,Серебро
锌,Цинк
锌合金,Цинковый сплав
锦纶,Нейлон (полиамид)
锦纶 二烯类弹性纤维,Нейлон + эластомер
锦纶 氨纶,Нейлон + спандекс
锦纶 氨纶 聚酯纤维,Нейлон + спандекс + полиэстер
锦纶（尼龙）,Нейлон
镀金,Позолота
镀铑,Родирование
镀铑18K白金,Родий + 18K белое золото
镀黄铜,Латунь с покрытием
镀黄铜 方晶锆石,Латунь с фианитом
非氟化DWR防水涂层,Нефторированное DWR-покрытие
面料:90%聚醋纤维10%氨纶(含胶衬布除外)汗带: 92%锦纶8%氨纶,90% ацетат / 10% спандекс; потник: 92% нейлон / 8% спандекс
面料:90%聚醋纤维10%氨纶(含胶衬布除外)里料:100%聚醋纤维(涂层除外)汗带: 92%锦纶8%氨纶,90% ацетат / 10% спандекс; подкладка: 100% ацетат; потник: 92% нейлон / 8% спандекс
面料：100％锦纶；汗带：100％聚酯纤维,Ткань: 100% нейлон; потник: 100% полиэстер
马海毛,Мохер
鹅卵石纹皮革,Кожа с фактурой гальки
黄铜,Латунь
黄铜 牛皮革 帆布,Латунь / кожа быка / холст
黄铜 钢,Латунь и сталь
黑玛瑙,Чёрный агат
